"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3986419309119","14.9866606211009","17.1327192233916","17.5136636772655","15.549271842299","15.8253515750802","15.9113471050335","15.2834244604317","16.7927031509121","17.5977187264979","18.5044103547459","19.5727649769585","18.9801110873745","18.0314000814001","16.175408003577","","","","","","","","","","",
"Afghanistan","AFG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8101270064854","22.7108641828326","26.2267897500666","26.8120992326398","28.2107680719994","26.8822416082148","26.9156280026285","21.8971222069406","21.1514206977128","22.7402524820273","21.1578071539751","20.4446053132561","21.2296632181805","22.1240424906926","21.8232227792274","22.1276696065895","22.2799116026365","22.0890533136954",
"Angola","AGO","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.2851757873636","67.8206759362436","60.757741389497","55.1572893027623","72.7173723137849","72.1229549419033","64.8838115415289","56.0757965388459","53.1169963887799","54.6299213113549","60.4019934569532","58.109331166465","61.8835378515421","60.2548201250717","44.0563761691749","52.3684348885467","56.026514743024","56.9182197485493","53.3628539821467","46.2033255675024","41.9330926455315","42.643566778715","42.1679535486771","47.9315416320186","",
"Albania","ALB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3736634617993","18.1095774942395","15.3468920399073","16.5364476370761","19.3956456296929","21.7356604231714","23.1063954130151","24.0555827571712","24.6655230886557","25.0817044962801","25.3081868713657","25.3402998998185","25.1610202705982","24.4136512883637","24.9374670061949","24.484407516121","22.9185139216065","23.061336904157","21.5088578900509","21.7636624840832","21.1419432555349","20.3584082909885","21.2840188389096","20.0573246036816",
"Andorra","AND","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","58.371558286461","56.9346000009421","54.7247411467212","52.1926895176131","","60.9450650004371","57.5369174122199","50.0443387696361","45.4551613533538","44.3642078925089","41.5354341259778","37.1991375899483","38.7013910332277","37.5692486138837","39.3673637353085","45.4752671788173","40.7343641710117","42.9475204539503","41.3980690345893","39.9724779932482","41.2826590722681","42.3924489246026","43.3052761667435","39.0899309214108","42.3795323368463","47.7291486780241","45.6297567213797","45.98649524818","47.3146639762358","48.6777920012091","51.9402769044881","52.8675148674179","51.75464607327","54.6766381658509","46.2367905181376","49.2942674507557","54.2558491258963","53.8392263575227","51.9565820323559","50.1503259507161","41.4154743787919","39.7233074311734","41.9206347503048","44.7591936984912","43.5980268679033",
"United Arab Emirates","ARE","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","73.995507005299","71.8147226501297","67.9817061865227","68.058799882661","71.3555523848691","72.6636063301946","68.3633070683534","63.1520519771899","61.4041786789367","62.8107143089844","61.2521468441391","52.1543733498118","54.6811011537108","53.0142376546918","55.0769292067955","58.9023505708529","46.7783014879946","55.2980232231106","51.4799216454456","46.2603750878466","45.5451739211502","46.3670023696682","45.4284115017034","40.0235324596818","42.0206625694073","48.5170116316395","49.6763412859899","47.5457475824448","49.1210129154604","51.6783480847693","55.6434763024807","57.903111718071","54.840228590251","58.0179784435584","52.044956000368","52.5308621988942","58.0355992952437","57.449131719203","55.0061258140395","52.7646083574634","43.8938141693106","41.4486936338511","42.5746249825366","47.0329278969485","46.1603691427285",
"Argentina","ARG","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","48.4144764220088","49.605814661101","47.3834143823114","47.0360652886282","47.3861283042889","42.278789634459","45.9547284532329","45.581648950747","43.3522399337902","43.5928026239928","50.141323678472","50.8936968312364","47.8061321945614","46.0976480124721","44.0281237958525","41.2196656664295","40.3382267073251","41.1028486443199","41.5563065120102","39.70818793304","39.2761545711593","37.3804348914775","37.8286752699048","38.4866110820983","42.3478130695861","36.0218813478135","32.7225282556322","30.6839549022114","27.338739645861","26.7545586932878","26.3012103355498","26.5925606398683","27.1791508883114","26.7121357626278","26.1936304991129","25.9908360111364","25.2434339827333","30.5577370913046","32.6450990996503","28.816922006834","28.6263140439084","29.2032796652469","27.4152361334783","26.2724599395946","25.2842047993735","25.2587762576722","25.2126976058843","24.4290570649122","24.0058814423072","24.2773944936602","23.153056135905","22.0541072112108","21.8690650957909","22.9672773382624","23.1319172454862",
"Armenia","ARM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.8270946139077","26.7090481417071","25.2705329463993","25.7086994351611","25.5771330395605","25.8095323791656","24.7565578476257","24.2874002052175",
"American Samoa","ASM","Industry (including construction), value added (% of GDP)","NV.IND.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
